series_id	year	period	value
CES6500000001    	1973	M11	        5189	          
CES6500000001    	1973	M12	        5201	          
CES6500000001    	1974	M01	        5217	          
CES6500000001    	1974	M02	        5242	          
CES6500000001    	1974	M03	        5259	          
CES6500000001    	1974	M04	        5262	          
CES6500000001    	1974	M05	        5304	          
CES6500000001    	1974	M06	        5323	          
CES6500000001    	1974	M07	        5349	          
CES6500000001    	1974	M08	        5356	          
CES6500000001    	1974	M09	        5365	          
CES6500000001    	1974	M10	        5387	          
CES6500000001    	1974	M11	        5394	          
CES6500000001    	1974	M12	        5401	          
CES6500000001    	1975	M01	        5404	          
CES6500000001    	1975	M02	        5421	          
CES6500000001    	1975	M03	        5430	          
CES6500000001    	1975	M04	        5435	          
CES6500000001    	1975	M05	        5468	          
CES6500000001    	1975	M06	        5458	          
CES6500000001    	1975	M07	        5515	          
CES6500000001    	1975	M08	        5546	          
CES6500000001    	1975	M09	        5540	          
CES6500000001    	1975	M10	        5562	          
CES6500000001    	1975	M11	        5578	          
CES6500000001    	1975	M12	        5602	          
CES6500000001    	1976	M01	        5635	          
CES6500000001    	1976	M02	        5657	          
CES6500000001    	1976	M03	        5687	          
CES6500000001    	1976	M04	        5709	          
CES6500000001    	1976	M05	        5730	          
CES6500000001    	1976	M06	        5751	          
CES6500000001    	1976	M07	        5780	          
CES6500000001    	1976	M08	        5789	          
CES6500000001    	1976	M09	        5801	          
CES6500000001    	1976	M10	        5819	          
CES6500000001    	1976	M11	        5843	          
CES6500000001    	1976	M12	        5868	          
CES6500000001    	1977	M01	        5892	          
CES6500000001    	1977	M02	        5914	          
CES6500000001    	1977	M03	        5941	          
CES6500000001    	1977	M04	        5965	          
CES6500000001    	1977	M05	        5992	          
CES6500000001    	1977	M06	        6023	          
CES6500000001    	1977	M07	        6060	          
CES6500000001    	1977	M08	        6094	          
CES6500000001    	1977	M09	        6139	          
CES6500000001    	1977	M10	        6171	          
CES6500000001    	1977	M11	        6204	          
CES6500000001    	1977	M12	        6229	          
CES6500000001    	1978	M01	        6228	          
CES6500000001    	1978	M02	        6266	          
CES6500000001    	1978	M03	        6308	          
CES6500000001    	1978	M04	        6353	          
CES6500000001    	1978	M05	        6387	          
CES6500000001    	1978	M06	        6421	          
CES6500000001    	1978	M07	        6455	          
CES6500000001    	1978	M08	        6498	          
CES6500000001    	1978	M09	        6514	          
CES6500000001    	1978	M10	        6525	          
CES6500000001    	1978	M11	        6567	          
CES6500000001    	1978	M12	        6597	          
CES6500000001    	1979	M01	        6603	          
CES6500000001    	1979	M02	        6645	          
CES6500000001    	1979	M03	        6683	          
CES6500000001    	1979	M04	        6702	          
CES6500000001    	1979	M05	        6738	          
CES6500000001    	1979	M06	        6770	          
CES6500000001    	1979	M07	        6784	          
